CONCEPT	DOCULECT	IPA	ID
here	Armenian	ɑjsˈtɛʁ	138
here	Old_Kannada	ilːi	139
here	Old_Telugu	in̪d̪ʊn	140
here	Old_Malayalam	iʋiʈe	141
here	Old_Tamil	iŋku	142
here	Greek_Anc	éntʰa	143
here	Latin	hiːk	144
here	Old_French	t͡si	145
here	Old_Norse	heːr	146
here	Old_High_German	hiːr	147
here	Old_English	heːr	148
here	Old_Irish	sund	149
here	Old_Church_Slavonic	sɪ̆dɛ	150
here	Sanskrit	ɐt̪ɾɐ	151
here	Pali	id̪ʱɐ	152
here	Middle_Persian	e:daɾ	153
there	Georgian	ik	154
there	Armenian	ɑjnˈtɛʁ	155
there	Old_Kannada	alːi	156
there	Old_Telugu	an̪d̪ʊn	157
there	Old_Malayalam	aʋiʈe	158
there	Old_Tamil	aŋku	159
there	Greek_Anc	ekêː	160
there	Latin	ˈibiː	161
there	Old_French	la	162
there	Old_Norse	θar	163
there	Old_High_German	daːr	164
there	Old_English	θæːr	165
there	Old_Irish	tal	166
there	Old_Church_Slavonic	tu	167
there	Sanskrit	t̪ɐt̪ɾɐ	168
there	Pali	t̪ɐt̪ʰːɐ	169
there	Middle_Persian	ɑ:no:h	170
who	Georgian	vin	171
who	Armenian	ɔv	172
who	Old_Kannada	jaːɾ	173
who	Old_Telugu	eʋaɾu	174
who	Old_Malayalam	aːɾə	175
who	Old_Tamil	jaːɾ	176
who	Greek_Anc	tís	177
who	Latin	kʷiː	178
who	Old_French	ki	179
who	Old_Norse	ɣverː	180
who	Old_High_German	weːr	181
who	Old_English	ʍɑː	182
who	Old_Irish	kʹi:ə	183
who	Old_Church_Slavonic	kʊ̆tɔ	184
who	Sanskrit	kɐ	185
who	Pali	kɐ	186
who	Middle_Persian	ke:	187
what	Georgian	ɾa	188
what	Armenian	int͡ʃʰ	189
what	Old_Kannada	eːn	190
what	Old_Telugu	eːmi	191
what	Old_Malayalam	en̪t̪ə	192
what	Old_Tamil	enːa	193
what	Greek_Anc	tí	194
what	Latin	kʷid	195
what	Old_French	kə	196
what	Old_Norse	ɣvat	197
what	Old_High_German	was	198
what	Old_English	ʍæt	199
what	Old_Irish	kʹiðʹ	200
what	Old_Church_Slavonic	tʃɪ̆tɔ	201
what	Sanskrit	kim	202
what	Pali	kĩ	203
what	Middle_Persian	t͡ɕe:	204
where	Georgian	sad	205
where	Armenian	uɾ	206
where	Old_Kannada	elːi	207
where	Old_Telugu	en̪d̪ʊn	208
where	Old_Malayalam	eʋiʈe	209
where	Old_Tamil	jaːŋku	210
where	Greek_Anc	puː	211
where	Latin	ˈubi	212
where	Old_French	u	213
where	Old_Norse	ɣvar	214
where	Old_High_German	xwaːr	215
where	Old_English	ʍæːr	216
where	Old_Irish	kʹi:ə	217
where	Old_Church_Slavonic	kʊ̆dɛ	218
where	Sanskrit	kut̪ɾɐ	219
where	Pali	kɐt̪ʰːɐ	220
where	Middle_Persian	ku:	221
when	Georgian	ɾodis	222
when	Armenian	jɛɾpʰ	223
when	Old_Kannada	jaːʋaːɡa	224
when	Old_Telugu	epːʊɖu	225
when	Old_Malayalam	epːoːɭ	226
when	Old_Tamil	jaːɳʈu	227
when	Greek_Anc	póte	228
when	Latin	ˈkwandoː	229
when	Old_French	kant	230
when	Old_Norse	ˈɣveːˌnɛːr	231
when	Old_High_German	wanːə	232
when	Old_English	ˈʍænːe	233
when	Old_Irish	kunʹ	234
when	Old_Church_Slavonic	kɔɡdɑ	235
when	Sanskrit	kɐdaː	236
when	Pali	kɐraːɦi	237
when	Middle_Persian	kaj	238
how	Georgian	ɾoɡoɾ	239
how	Armenian	int͡ʃʰˈpɛs	240
how	Old_Kannada	heːɡe	241
how	Old_Telugu	eʈʊlu	242
how	Old_Malayalam	eŋːane	243
how	Old_Tamil	jaːŋku	244
how	Greek_Anc	pɔːs	245
how	Latin	ˈkʷoːmodo	246
how	Old_French	komant	247
how	Old_Norse	ɣveː	248
how	Old_High_German	xwio	249
how	Old_English	huː	250
how	Old_Irish	kʹi:ə_kruθ	251
how	Old_Church_Slavonic	kɑkɔ	252
how	Sanskrit	kɐt̪ʰɐm	253
how	Pali	kɐt̪ʰã	254
how	Middle_Persian	t͡ɕijo:n	255
not	Georgian	aɾ	256
not	Armenian	vɔt͡ʃʰ	257
not	Old_Kannada	alːa	258
not	Old_Telugu	leːd̪u	259
not	Old_Malayalam	ilːa	260
not	Old_Tamil	il	261
not	Greek_Anc	uː	262
not	Latin	noːn	263
not	Old_French	nə	264
not	Old_Norse	ˈekːi	265
not	Old_High_German	nio	266
not	Old_English	ne	267
not	Old_Irish	nʹi:	268
not	Old_Church_Slavonic	nɛ	269
not	Sanskrit	nɐ	270
not	Pali	nɐ	271
not	Middle_Persian	ne:	272
all	Georgian	χʼʷeɫapʰeɾi	273
