CONCEPT	DOCULECT	IPA	ID
man (adult male)	Old_Tamil	aːɳ	139
man (human being)	Old_Kannada	man̪d̪i	140
man (human being)	Old_Telugu	man̪d̪i	141
man (human being)	Old_Tamil	manit̪an	142
child	Old_Kannada	maɡu	143
child	Old_Telugu	pɪlːa	144
child	Old_Malayalam	piɭːa	145
child	Old_Tamil	piɭːaj	146
wife	Old_Kannada	peɳɖat̪i	147
wife	Old_Telugu	peɳɖlaːm	148
wife	Old_Tamil	manajʋi	149
husband	Old_Kannada	ɡaɳɖa	150
husband	Old_Telugu	moɡʊnɾu	151
husband	Old_Tamil	kaɳaʋan	152
fish	Old_Kannada	miːn	153
fish	Old_Telugu	t͡ʃeːpa	154
fish	Old_Malayalam	miːn	155
fish	Old_Tamil	miːn	156
dog	Old_Kannada	naːj	157
dog	Old_Telugu	kʊkːa	158
dog	Old_Malayalam	n̪aːja	159
dog	Old_Tamil	n̪aːj	160
louse	Old_Kannada	peːnu	161
louse	Old_Telugu	peːnu	162
louse	Old_Malayalam	peːn	163
louse	Old_Tamil	peːn	164
snake	Old_Kannada	paːʋu	165
snake	Old_Telugu	paːmu	166
snake	Old_Malayalam	paːmpə	167
snake	Old_Tamil	paːmbu	168
worm	Old_Kannada	puɻa	169
worm	Old_Telugu	pʊɾʊɡu	170
worm	Old_Malayalam	puɻu	171
worm	Old_Tamil	puɻu	172
tree	Old_Kannada	maɾam	173
tree	Old_Telugu	mɾaːnu	174
tree	Old_Malayalam	maɾam	175
tree	Old_Tamil	maɾam	176
forest	Old_Kannada	kaːɖu	177
forest	Old_Malayalam	kaːʈə	178
forest	Old_Tamil	kaːʈu	179
stick	Old_Kannada	koːl	180
stick	Old_Telugu	kaɾːa	181
stick	Old_Malayalam	ʋaʈi	182
stick	Old_Tamil	kut͡ʃːi	183
fruit	Old_Kannada	paɳːu	184
fruit	Old_Telugu	paɳɖu	185
fruit	Old_Malayalam	paɻam	186
fruit	Old_Tamil	paɻam	187
seed	Old_Kannada	bit̪ːu	188
seed	Old_Telugu	ʋɪt̪ːanamu	189
seed	Old_Malayalam	ʋit̪ːə	190
seed	Old_Tamil	ʋit̪ːaj	191
leaf	Old_Kannada	ele	192
leaf	Old_Telugu	aːku	193
leaf	Old_Malayalam	ila	194
leaf	Old_Tamil	ilaj	195
root	Old_Kannada	beːɾ	196
root	Old_Telugu	ʋeːɾu	197
root	Old_Malayalam	ʋeːɾə	198
root	Old_Tamil	ʋeːɾ	199
bark (of a tree)	Old_Kannada	t̪oɡaʈi	200
bark (of a tree)	Old_Telugu	beɾaɖu	201
bark (of a tree)	Old_Malayalam	t̪oːl	202
bark (of a tree)	Old_Tamil	paʈːaj	203
flower	Old_Kannada	puː	204
flower	Old_Telugu	pʊʋːu	205
flower	Old_Malayalam	puː	206
flower	Old_Tamil	puː	207
grass	Old_Kannada	pul	208
grass	Old_Telugu	ɡaɖːi	209
grass	Old_Malayalam	pulːə	210
grass	Old_Tamil	pul	211
rope	Old_Kannada	neːɳu	212
rope	Old_Telugu	t̪ɾaːɖu	213
rope	Old_Malayalam	kajar	214
rope	Old_Tamil	kajiru	215
skin	Old_Kannada	t̪oɡal	216
skin	Old_Telugu	t̪oːlu	217
skin	Old_Malayalam	t̪oli	218
skin	Old_Tamil	t̪oːl	219
meat	Old_Kannada	baːɖu	220
meat	Old_Malayalam	irat͡ʃːi	221
meat	Old_Tamil	irajt͡ʃːi	222
blood	Old_Kannada	net̪ːaɾ	223
