CONCEPT	DOCULECT	IPA	ID
thick	Old_Malayalam	kaʈːi	144
thick	Old_Tamil	t̪uru	145
heavy	Georgian	md͡zime	146
heavy	Old_Telugu	baɾʊʋu	147
heavy	Old_Malayalam	kana	148
heavy	Old_Tamil	paɾu	149
short	Georgian	mokʼle	150
short	Old_Kannada	kiɾu	151
short	Old_Telugu	poʈːi	152
short	Old_Malayalam	kuri	153
short	Old_Tamil	kuru	154
narrow	Georgian	vit͡sʼɾo	155
narrow	Old_Kannada	sapura	156
narrow	Old_Telugu	iɾʊku	157
narrow	Old_Malayalam	iʈuŋːi	158
narrow	Old_Tamil	kurukija	159
thin	Georgian	tʰχeli	160
thin	Old_Kannada	t̪eɭu	161
thin	Old_Telugu	sanːa	162
thin	Old_Malayalam	n̪eːrt̪ːa	163
thin	Old_Tamil	melːija	164
woman	Georgian	kʰali	165
woman	Old_Kannada	peɳ	166
woman	Old_Telugu	aːɖa	167
woman	Old_Malayalam	peɳːə	168
woman	Old_Tamil	peɳ	169
man (adult male)	Georgian	kʼat͡sʰi	170
man (adult male)	Old_Kannada	aːɭ	171
man (adult male)	Old_Telugu	maɡa	172
man (adult male)	Old_Malayalam	aːɳə	173
man (adult male)	Old_Tamil	aːɳ	174
man (human being)	Old_Kannada	man̪d̪i	175
man (human being)	Old_Telugu	man̪d̪i	176
man (human being)	Old_Tamil	manit̪an	177
child	Georgian	bafʃʷi	178
child	Old_Kannada	maɡu	179
child	Old_Telugu	pɪlːa	180
child	Old_Malayalam	piɭːa	181
child	Old_Tamil	piɭːaj	182
wife	Georgian	t͡sʰoli	183
wife	Old_Kannada	peɳɖat̪i	184
wife	Old_Telugu	peɳɖlaːm	185
wife	Old_Tamil	manajʋi	186
husband	Georgian	kʰmaɾi	187
husband	Old_Kannada	ɡaɳɖa	188
husband	Old_Telugu	moɡʊnɾu	189
husband	Old_Tamil	kaɳaʋan	190
animal	Georgian	t͡sʰχoveli	191
fish	Georgian	tʰevzi	192
