CONCEPT	DOCULECT	IPA	ID
stick	Pali	lɐʈʰːi	140
stick	Middle_Persian	t͡ɕo:b	141
fruit	Sanskrit	pʰɐlɐ	142
fruit	Pali	pʰɐlɐ	143
fruit	Middle_Persian	me:wag	144
seed	Sanskrit	biːd͡ʑɐ	145
seed	Pali	biːdʒɐ	146
seed	Middle_Persian	to:m	147
leaf	Sanskrit	pɐt̪ːɾɐ	148
leaf	Pali	pɐt̪ːi	149
leaf	Middle_Persian	waɾg	150
root	Sanskrit	muːlɐ	151
root	Pali	muːlɐ	152
root	Middle_Persian	ɾe:ʃag	153
bark (of a tree)	Sanskrit	t̪ʋɐt͡ɕ	154
bark (of a tree)	Pali	t̪ɐtʃɐ	155
bark (of a tree)	Middle_Persian	po:st	156
flower	Sanskrit	puʂpɐ	157
flower	Pali	pupʰːɐ	158
flower	Middle_Persian	gul	159
grass	Sanskrit	t̪r̩ɳɐ	160
grass	Pali	t̪iɳɐ	161
grass	Middle_Persian	gijɑ:	162
rope	Sanskrit	ɾɐd͡ʑ:u	163
rope	Pali	rɐdʒːu	164
rope	Middle_Persian	ɾasan	165
skin	Sanskrit	t͡ɕɐɾmɐn	166
skin	Pali	tʃɐmːɐ	167
skin	Middle_Persian	po:st	168
meat	Sanskrit	mɑ̃ːsɐ	169
meat	Pali	mãsɐ	170
meat	Middle_Persian	go:ʃt	171
blood	Sanskrit	ɾɐkt̪ɐ	172
blood	Pali	loɦit̪ɐ	173
blood	Middle_Persian	xo:n	174
bone	Sanskrit	ɐst̪ʰi	175
bone	Pali	ɐʈʰːi	176
bone	Middle_Persian	ast	177
fat (noun)	Sanskrit	piːʋɐs	178
fat (noun)	Pali	med̪ɐ	179
fat (noun)	Middle_Persian	t͡ɕaɾbiʃn	180
egg	Sanskrit	ɐɳɖɐ	181
egg	Pali	ɐɳɖɐ	182
egg	Middle_Persian	xɑ:jag	183
horn	Sanskrit	ʃr̩ŋɡɐ	184
horn	Pali	singɐ	185
horn	Middle_Persian	sɾu:	186
tail	Sanskrit	put͡ɕːʰɐ	187
tail	Pali	putʃʰːɐ	188
tail	Middle_Persian	dumb	189
feather	Sanskrit	pɐɾɳɐ	190
feather	Pali	pɐɳːɐ	191
feather	Middle_Persian	par	192
hair	Sanskrit	keʃɐ	193
hair	Pali	kesɐ	194
hair	Middle_Persian	mo:j	195
head	Sanskrit	ʃiɾɐs	196
head	Pali	sirɐ	197
head	Middle_Persian	saɾ	198
ear	Sanskrit	kɐɾɳɐ	199
ear	Pali	kɐɳːɐ	200
ear	Middle_Persian	go:ʃ	201
eye	Sanskrit	ɐkʂi	202
eye	Pali	ɐkʰːi	203
eye	Middle_Persian	t͡ɕaʃm	204
nose	Sanskrit	naːsɐ	205
nose	Pali	naːsaː	206
nose	Middle_Persian	we:ni:g	207
mouth	Sanskrit	ʋɐkt̪ɾɐ	208
mouth	Pali	mukʰɐ	209
mouth	Middle_Persian	dahɑ:n	210
tooth	Sanskrit	d̪ɐnt̪ɐ	211
tooth	Pali	d̪ɐnt̪ɐ	212
tooth	Middle_Persian	dandɑ:n	213
tongue (organ)	Sanskrit	d͡ʑiɦʋaː	214
tongue (organ)	Pali	dʒiʋɦaː	215
tongue (organ)	Middle_Persian	uzwɑ:n	216
fingernail	Sanskrit	nɐkʰɐ	217
fingernail	Pali	nɐkʰɐ	218
fingernail	Middle_Persian	nɑ:xun	219
